#SUBMITTED ID	DROSOPHILA_ORTHOLOGS
LysE	Dgri\GH15486 <newline> Dgri\GH15485 <newline> Dgri\GH15989 <newline> Dgri\GH15987 <newline> Dere\GG14762 <newline> Dere\GG19823 <newline> Dere\GG19822 <newline> Dere\GG14617 <newline> Dere\GG14759 <newline> Dere\GG26979 <newline> Dsim\GD13593 <newline> Dsim\GD29578 <newline> Dsim\GD13594 <newline> Dyak\GE21123 <newline> Dyak\GE20977 <newline> Dyak\GE21124 <newline> Dyak\GE21125 <newline> Dper\GL21426 <newline> Dper\GL16157 <newline> Dper\GL16159 <newline> Dper\GL16083 <newline> Dper\GL16691 <newline> Dper\GL14512 <newline> Dper\GL16158 <newline> Dper\GL16156 <newline> Dwil\GK21106 <newline> Dwil\GK21095 <newline> Dwil\GK12154 <newline> Dwil\GK12260 <newline> Dwil\GK21084 <newline> Dsec\GM14380 <newline> Dsec\GM14378 <newline> Dsec\GM14382 <newline> Dsec\GM14229 <newline> Dpse\GA28405 <newline> Dpse\GA28485 <newline> Dpse\GA28406 <newline> Dpse\GA28484 <newline> Dpse\GA28408 <newline> Dpse\GA28483 <newline> Dpse\GA28404 <newline> Dpse\GA28409 <newline> Dvir\GJ12893 <newline> Dvir\GJ12896 <newline> Dvir\GJ12895 <newline> Dvir\GJ12507 <newline> Dvir\GJ12508 <newline> LysE <newline> LysD <newline> LysB <newline> Dana\GF10072 <newline> Dana\GF24436 <newline> Dana\GF10073 <newline> Dmoj\GI16642 <newline> Dmoj\GI16761 <newline> Dmoj\GI16638 <newline> Dmoj\GI16637 <newline> Dmoj\GI16762 <newline> Dmoj\GI16643 <newline> Dsuz\DS10_00004542 <newline> Dsuz\DS10_00004543
GNBP-like3	Dgri\GH20840 <newline> Dere\GG22037 <newline> Dsim\GD11519 <newline> Dyak\GE12117 <newline> Dper\GL17665 <newline> Dwil\GK19304 <newline> Dwil\GK20626 <newline> Dsec\GM22021 <newline> Dpse\GA12275 <newline> Dvir\GJ20666 <newline> GNBP-like3 <newline> Dana\GF12269 <newline> Dmoj\GI20944 <newline> Dmoj\GI20945 <newline> Dsuz\DS10_00002349 <newline> Dsuz\DS10_00002348
LysE	Dgri\GH15486 <newline> Dgri\GH15485 <newline> Dgri\GH15989 <newline> Dgri\GH15987 <newline> Dere\GG14762 <newline> Dere\GG19823 <newline> Dere\GG19822 <newline> Dere\GG14617 <newline> Dere\GG14759 <newline> Dere\GG26979 <newline> Dsim\GD13593 <newline> Dsim\GD29578 <newline> Dsim\GD13594 <newline> Dyak\GE21123 <newline> Dyak\GE20977 <newline> Dyak\GE21124 <newline> Dyak\GE21125 <newline> Dper\GL21426 <newline> Dper\GL16157 <newline> Dper\GL16159 <newline> Dper\GL16083 <newline> Dper\GL16691 <newline> Dper\GL14512 <newline> Dper\GL16158 <newline> Dper\GL16156 <newline> Dwil\GK21106 <newline> Dwil\GK21095 <newline> Dwil\GK12154 <newline> Dwil\GK12260 <newline> Dwil\GK21084 <newline> Dsec\GM14380 <newline> Dsec\GM14378 <newline> Dsec\GM14382 <newline> Dsec\GM14229 <newline> Dpse\GA28405 <newline> Dpse\GA28485 <newline> Dpse\GA28406 <newline> Dpse\GA28484 <newline> Dpse\GA28408 <newline> Dpse\GA28483 <newline> Dpse\GA28404 <newline> Dpse\GA28409 <newline> Dvir\GJ12893 <newline> Dvir\GJ12896 <newline> Dvir\GJ12895 <newline> Dvir\GJ12507 <newline> Dvir\GJ12508 <newline> LysE <newline> LysD <newline> LysB <newline> Dana\GF10072 <newline> Dana\GF24436 <newline> Dana\GF10073 <newline> Dmoj\GI16642 <newline> Dmoj\GI16761 <newline> Dmoj\GI16638 <newline> Dmoj\GI16637 <newline> Dmoj\GI16762 <newline> Dmoj\GI16643 <newline> Dsuz\DS10_00004542 <newline> Dsuz\DS10_00004543
DptB	Dgri\GH22132 <newline> Dere\GG21935 <newline> Dsim\GD11419 <newline> Dyak\DptB <newline> Dper\GL11495 <newline> Dwil\GK20689 <newline> Dwil\GK20932 <newline> Dsec\GM21924 <newline> Dpse\GA10563 <newline> Dvir\GJ19917 <newline> DptB <newline> Dana\GF11125 <newline> Dmoj\GI19362 <newline> Dsuz\DS10_00005807
CG1648	Dgri\GH22847 <newline> Dere\GG25263 <newline> Dsim\GD10052 <newline> Dyak\GE22072 <newline> Dper\GL17447 <newline> Dwil\GK15615 <newline> Dsec\GM20580 <newline> Dpse\GA14072 <newline> Dvir\GJ20829 <newline> CG1648 <newline> Dana\GF11480 <newline> Dmoj\GI21225 <newline> Dsuz\DS10_00003388
LysE	Dgri\GH15486 <newline> Dgri\GH15485 <newline> Dgri\GH15989 <newline> Dgri\GH15987 <newline> Dere\GG14762 <newline> Dere\GG19823 <newline> Dere\GG19822 <newline> Dere\GG14617 <newline> Dere\GG14759 <newline> Dere\GG26979 <newline> Dsim\GD13593 <newline> Dsim\GD29578 <newline> Dsim\GD13594 <newline> Dyak\GE21123 <newline> Dyak\GE20977 <newline> Dyak\GE21124 <newline> Dyak\GE21125 <newline> Dper\GL21426 <newline> Dper\GL16157 <newline> Dper\GL16159 <newline> Dper\GL16083 <newline> Dper\GL16691 <newline> Dper\GL14512 <newline> Dper\GL16158 <newline> Dper\GL16156 <newline> Dwil\GK21106 <newline> Dwil\GK21095 <newline> Dwil\GK12154 <newline> Dwil\GK12260 <newline> Dwil\GK21084 <newline> Dsec\GM14380 <newline> Dsec\GM14378 <newline> Dsec\GM14382 <newline> Dsec\GM14229 <newline> Dpse\GA28405 <newline> Dpse\GA28485 <newline> Dpse\GA28406 <newline> Dpse\GA28484 <newline> Dpse\GA28408 <newline> Dpse\GA28483 <newline> Dpse\GA28404 <newline> Dpse\GA28409 <newline> Dvir\GJ12893 <newline> Dvir\GJ12896 <newline> Dvir\GJ12895 <newline> Dvir\GJ12507 <newline> Dvir\GJ12508 <newline> LysE <newline> LysD <newline> LysB <newline> Dana\GF10072 <newline> Dana\GF24436 <newline> Dana\GF10073 <newline> Dmoj\GI16642 <newline> Dmoj\GI16761 <newline> Dmoj\GI16638 <newline> Dmoj\GI16637 <newline> Dmoj\GI16762 <newline> Dmoj\GI16643 <newline> Dsuz\DS10_00004542 <newline> Dsuz\DS10_00004543
LysE	Dgri\GH15486 <newline> Dgri\GH15485 <newline> Dgri\GH15989 <newline> Dgri\GH15987 <newline> Dere\GG14762 <newline> Dere\GG19823 <newline> Dere\GG19822 <newline> Dere\GG14617 <newline> Dere\GG14759 <newline> Dere\GG26979 <newline> Dsim\GD13593 <newline> Dsim\GD29578 <newline> Dsim\GD13594 <newline> Dyak\GE21123 <newline> Dyak\GE20977 <newline> Dyak\GE21124 <newline> Dyak\GE21125 <newline> Dper\GL21426 <newline> Dper\GL16157 <newline> Dper\GL16159 <newline> Dper\GL16083 <newline> Dper\GL16691 <newline> Dper\GL14512 <newline> Dper\GL16158 <newline> Dper\GL16156 <newline> Dwil\GK21106 <newline> Dwil\GK21095 <newline> Dwil\GK12154 <newline> Dwil\GK12260 <newline> Dwil\GK21084 <newline> Dsec\GM14380 <newline> Dsec\GM14378 <newline> Dsec\GM14382 <newline> Dsec\GM14229 <newline> Dpse\GA28405 <newline> Dpse\GA28485 <newline> Dpse\GA28406 <newline> Dpse\GA28484 <newline> Dpse\GA28408 <newline> Dpse\GA28483 <newline> Dpse\GA28404 <newline> Dpse\GA28409 <newline> Dvir\GJ12893 <newline> Dvir\GJ12896 <newline> Dvir\GJ12895 <newline> Dvir\GJ12507 <newline> Dvir\GJ12508 <newline> LysE <newline> LysD <newline> LysB <newline> Dana\GF10072 <newline> Dana\GF24436 <newline> Dana\GF10073 <newline> Dmoj\GI16642 <newline> Dmoj\GI16761 <newline> Dmoj\GI16638 <newline> Dmoj\GI16637 <newline> Dmoj\GI16762 <newline> Dmoj\GI16643 <newline> Dsuz\DS10_00004542 <newline> Dsuz\DS10_00004543
CecA2	Dgri\GH19151 <newline> Dgri\GH19153 <newline> Dgri\GH23329 <newline> Dgri\GH19152 <newline> Dgri\GH18419 <newline> Dgri\GH23207 <newline> Dere\GG11739 <newline> Dsim\CecA1 <newline> Dsim\CecC <newline> Dyak\GE10866 <newline> Dyak\GE10867 <newline> Dwil\GK14120 <newline> Dwil\GK14123 <newline> Dwil\GK14124 <newline> Dsec\CecA1 <newline> Dsec\CecC <newline> Dpse\CecI <newline> Dpse\CecII <newline> Dvir\Cec2A <newline> Dvir\Cec3 <newline> Dvir\Cec1 <newline> Dvir\Cec2B <newline> CecA2 <newline> CecC <newline> CecA1 <newline> Dana\GF18827 <newline> Dmoj\GI26214 <newline> Dmoj\GI26094 <newline> Dmoj\GI23259 <newline> Dsuz\DS10_00013053 <newline> Dsuz\DS10_00009443
Cp15	Dere\GG14343 <newline> Dsim\GD14122 <newline> Dyak\GE20773 <newline> Dsec\GM25086 <newline> Cp15 <newline> Dsuz\DS10_00003769
Def	Dgri\GH21581 <newline> Dere\GG25236 <newline> Dsim\Def <newline> Dyak\GE21830 <newline> Dper\GL10559 <newline> Dwil\GK21361 <newline> Dsec\GM20557 <newline> Dpse\GA12570 <newline> Dvir\GJ22479 <newline> Dvir\GJ21126 <newline> Def <newline> Dana\GF12914 <newline> Dmoj\GI19416 <newline> Dmoj\GI19553 <newline> Dsuz\DS10_00002771
IM18	-
Mtk	Dgri\GH20235 <newline> Dere\GG20517 <newline> Dsim\Mtk <newline> Dyak\GE11702 <newline> Dsec\GM21609 <newline> Mtk <newline> Dsuz\DS10_00005509
Dro	Dere\GG20474 <newline> Dsim\Dro <newline> Dyak\GE13605 <newline> Dper\GL11457 <newline> Dwil\GK19342 <newline> Dsec\GM21566 <newline> Dpse\GA10577 <newline> Dro <newline> Dana\GF11338
GATAe	Dgri\GH18758 <newline> Dere\GG16970 <newline> Dsim\GD19066 <newline> Dyak\GE24358 <newline> Dper\GL12213 <newline> Dwil\GK13254 <newline> Dsec\GM24276 <newline> Dpse\GA10213 <newline> Dvir\GJ23377 <newline> GATAe <newline> Dana\GF11880 <newline> Dmoj\GI22648 <newline> Dsuz\DS10_00012915
pannier - unknown ID - please use IDConverter
grain - unknown ID - please use IDConverter
relish - unknown ID - please use IDConverter
schnurri - unknown ID - please use IDConverter
serpent - unknown ID - please use IDConverter
maf-S	Dgri\GH21986 <newline> Dere\GG22047 <newline> Dsim\GD11528 <newline> Dyak\maf-S <newline> Dper\GL17038 <newline> Dwil\GK21710 <newline> Dsec\GM22031 <newline> Dpse\GA22151 <newline> Dvir\GJ17266 <newline> maf-S <newline> Dana\GF12187 <newline> Dmoj\GI19689
Eip75B	Dgri\GH14445 <newline> Dere\GG15765 <newline> Dsim\GD12358 <newline> Dyak\GE22099 <newline> Dper\GL22731 <newline> Dwil\GK20573 <newline> Dsec\GM11643 <newline> Dpse\GA23402 <newline> Dvir\GJ13914 <newline> Eip75B <newline> Dana\GF25223 <newline> Dmoj\GI13580 <newline> Dsuz\DS10_00008917 <newline> Dsuz\DS10_00008918
zelda - unknown ID - please use IDConverter
blimp-1 - unknown ID - please use IDConverter
ken	Dgri\GH21687 <newline> Dere\GG22895 <newline> Dsim\GD13771 <newline> Dyak\ken <newline> Dper\GL11171 <newline> Dwil\GK15862 <newline> Dsec\GM16054 <newline> Dpse\GA18980 <newline> Dvir\GJ21870 <newline> ken <newline> Dana\GF12868 <newline> Dmoj\GI18841 <newline> Dsuz\DS10_00002183
and - unknown ID - please use IDConverter
barbie - unknown ID - please use IDConverter
dorsal - unknown ID - please use IDConverter
sox14 - unknown ID - please use IDConverter
max - unknown ID - please use IDConverter
